_id,name,animal,released,age,desc,size,personality,price,sold,popularity,category_id,images
65c65afd9d77f1ff7a9831a1,James,cat,2023-03-19 11:53:18.253,10,"Independent, mischievous fluffball",Tiny,Flexible,17342,false,1011,65c4fd9aad328e73f11fb8fc,https://cdn.animality.xyz/cat/12.png
65c65afd9d77f1ff7a9831a2,Audrey,fish,2023-06-13 11:53:18.686,14,"Soft, quiet cuddlebug",Micro,Intellectual,27893,false,1813,65c4fe35ad328e73f11fb8ff,https://cdn.animality.xyz/fish/5.png
65c65afd9d77f1ff7a9831a3,Mary,fish,2024-01-03 11:53:19.075,0,Waddling ball of sunshine,Tiny,Precise,29481,false,1094,65c4fe35ad328e73f11fb8ff,https://cdn.animality.xyz/fish/0.png
65c65afd9d77f1ff7a9831a4,Jose,cat,2023-04-08 11:53:19.442,2,"Soft, quiet cuddlebug",Large,Efficient,20797,false,442,65c4fd9aad328e73f11fb8fc,https://cdn.animality.xyz/cat/29.png
65c65afd9d77f1ff7a9831a5,Daniel,bird,2022-11-11 11:53:19.932,11,"Playful, feathery chatterbox",Micro,Individualistic,16883,false,658,65c4fe04ad328e73f11fb8fe,https://cdn.animality.xyz/bird/17.png
65c65afd9d77f1ff7a9831a6,Maude,bird,2023-06-25 11:53:20.453,8,Adventurous outdoor pal,Ginormous,Assertive,17303,false,609,65c4fe04ad328e73f11fb8fe,https://cdn.animality.xyz/bird/14.png
65c65afd9d77f1ff7a9831a7,Elaine,cat,2023-12-10 11:53:20.841,4,"Independent, feathery acrobat",Medium,Loyal,19174,false,975,65c4fd9aad328e73f11fb8fc,https://cdn.animality.xyz/cat/18.png
65c65afd9d77f1ff7a9831a8,Carl,dog,2023-07-31 11:53:21.123,7,Feathered dust bunny creator,Ginormous,Selfless,13269,false,741,65c4fbf8ad328e73f11fb8fb,https://cdn.animality.xyz/dog/22.png
65c65afd9d77f1ff7a9831a9,Harry,fish,2023-09-15 11:53:21.513,13,Scales in unexpected places,Ginormous,Zestful,24024,false,1268,65c4fe35ad328e73f11fb8ff,https://cdn.animality.xyz/fish/7.png
65c65afd9d77f1ff7a9831aa,Amanda,dog,2023-10-11 11:53:21.946,10,"Energetic, bark-happy comedian",Small,Unique,628,false,151,65c4fbf8ad328e73f11fb8fb,https://cdn.animality.xyz/dog/9.png
65c65afd9d77f1ff7a9831ab,Shannon,cat,2023-01-06 11:53:22.408,10,"Playful, feathery kleptomaniac",Small,Humorous,26375,false,1486,65c4fd9aad328e73f11fb8fc,https://cdn.animality.xyz/cat/1.png
65c65afd9d77f1ff7a9831ac,Mary,bird,2023-07-10 11:53:22.776,9,"Playful, destructive gremlin",Tiny,Empathetic,16088,false,86,65c4fe04ad328e73f11fb8fe,https://cdn.animality.xyz/bird/20.png
65c65afd9d77f1ff7a9831ad,Manuel,bird,2024-01-12 11:53:23.171,13,"Soft, purring heat source",Medium,Easygoing,2254,true,1798,65c4fe04ad328e73f11fb8fe,https://cdn.animality.xyz/bird/1.png
65c65afd9d77f1ff7a9831ae,Alma,dog,2023-03-15 11:53:23.410,10,"Playful, aquatic explorer",Small,Diplomatic,23231,false,1271,65c4fbf8ad328e73f11fb8fb,https://cdn.animality.xyz/dog/17.png
65c65afd9d77f1ff7a9831af,Irene,bird,2024-01-28 11:53:23.782,9,Happy tail wagger,Tiny,Warm,8524,false,1452,65c4fe04ad328e73f11fb8fe,https://cdn.animality.xyz/bird/13.png
65c65afd9d77f1ff7a9831b0,Kenneth,cat,2023-09-20 11:53:24.021,9,Energetic barking alarm,Small,Responsible,6680,true,234,65c4fd9aad328e73f11fb8fc,https://cdn.animality.xyz/cat/21.png
65c65afd9d77f1ff7a9831b1,Emily,bird,2023-07-26 11:53:24.372,13,Shedding purring machine,Medium,Balanced,18999,false,387,65c4fe04ad328e73f11fb8fe,https://cdn.animality.xyz/bird/6.png
65c65afd9d77f1ff7a9831b2,Karen,dog,2022-10-15 11:53:24.571,12,"Nocturnal, chirping serenade",Tiny,Respectful,20138,false,469,65c4fbf8ad328e73f11fb8fb,https://cdn.animality.xyz/dog/8.png
65c65afd9d77f1ff7a9831b3,Edward,cat,2023-07-11 11:53:24.964,9,"Soft, curious companion",Micro,Adventurous,19516,false,651,65c4fd9aad328e73f11fb8fc,https://cdn.animality.xyz/cat/28.png
65c65afd9d77f1ff7a9831b4,Charles,dog,2023-02-18 11:53:25.337,6,Purring symphony composer,Ginormous,Amiable,26592,false,210,65c4fbf8ad328e73f11fb8fb,https://cdn.animality.xyz/dog/12.png
65c65afd9d77f1ff7a9831b5,William,bird,2022-09-30 11:53:25.782,10,"Playful, aquatic explorer",Ginormous,Confident,24569,true,111,65c4fe04ad328e73f11fb8fe,https://cdn.animality.xyz/bird/12.png
